TIME STAMP,GPU 1 UTIL,GPU 1 BRD PWR
N/A,10.35,36.67
2025-10-03 15:05:00.455,2.000,23
2025-10-03 15:05:00.706,11.000,31
2025-10-03 15:05:00.973,8.000,37
2025-10-03 15:05:01.229,11.000,35
2025-10-03 15:05:01.471,8.000,28
2025-10-03 15:05:01.741,10.000,29
2025-10-03 15:05:01.991,10.000,29
2025-10-03 15:05:02.240,6.000,28
2025-10-03 15:05:02.487,5.000,28
2025-10-03 15:05:02.738,5.000,28
2025-10-03 15:05:03.002,5.000,28
2025-10-03 15:05:03.255,5.000,28
2025-10-03 15:05:03.516,6.000,29
2025-10-03 15:05:03.770,5.000,28
2025-10-03 15:05:04.020,6.000,28
2025-10-03 15:05:04.269,6.000,28
2025-10-03 15:05:04.519,5.000,28
2025-10-03 15:05:04.770,5.000,28
2025-10-03 15:05:05.021,9.000,30
2025-10-03 15:05:05.270,5.000,28
2025-10-03 15:05:05.521,5.000,28
2025-10-03 15:05:05.785,1.000,18
2025-10-03 15:05:06.049,2.000,31
2025-10-03 15:05:06.299,2.000,26
2025-10-03 15:05:06.549,1.000,23
2025-10-03 15:05:06.805,1.000,19
2025-10-03 15:05:07.048,3.000,27
2025-10-03 15:05:07.301,10.000,30
2025-10-03 15:05:07.560,7.000,30
2025-10-03 15:05:07.820,6.000,29
2025-10-03 15:05:08.064,3.000,26
2025-10-03 15:05:08.315,5.000,30
2025-10-03 15:05:08.566,22.000,48
2025-10-03 15:05:08.823,21.000,47
2025-10-03 15:05:09.068,24.000,47
2025-10-03 15:05:09.324,23.000,48
2025-10-03 15:05:09.580,23.000,47
2025-10-03 15:05:09.830,22.000,47
2025-10-03 15:05:10.085,22.000,49
2025-10-03 15:05:10.347,22.000,47
2025-10-03 15:05:10.598,21.000,47
2025-10-03 15:05:10.853,21.000,47
2025-10-03 15:05:11.100,29.000,48
2025-10-03 15:05:11.346,23.000,47
2025-10-03 15:05:11.596,22.000,48
2025-10-03 15:05:11.846,21.000,47
2025-10-03 15:05:12.102,26.000,49
2025-10-03 15:05:12.360,23.000,48
2025-10-03 15:05:12.604,21.000,48
2025-10-03 15:05:12.854,22.000,48
2025-10-03 15:05:13.107,22.000,48
2025-10-03 15:05:13.354,21.000,47
2025-10-03 15:05:13.600,21.000,47
2025-10-03 15:05:13.847,22.000,48
2025-10-03 15:05:14.103,21.000,54
2025-10-03 15:05:14.347,21.000,62
2025-10-03 15:05:14.599,21.000,62
2025-10-03 15:05:14.854,21.000,62
2025-10-03 15:05:15.099,21.000,62
2025-10-03 15:05:15.349,21.000,63
2025-10-03 15:05:15.612,22.000,64
2025-10-03 15:05:15.868,21.000,62
2025-10-03 15:05:16.111,20.000,62
2025-10-03 15:05:16.380,22.000,63
2025-10-03 15:05:16.635,22.000,63
2025-10-03 15:05:16.887,21.000,64
2025-10-03 15:05:17.131,19.000,63
2025-10-03 15:05:17.382,4.000,59
2025-10-03 15:05:17.628,3.000,59
2025-10-03 15:05:17.895,1.000,51
2025-10-03 15:05:18.151,3.000,29
2025-10-03 15:05:18.400,3.000,29
2025-10-03 15:05:18.644,4.000,29
2025-10-03 15:05:18.901,3.000,30
2025-10-03 15:05:19.145,2.000,27
2025-10-03 15:05:19.399,1.000,19
2025-10-03 15:05:19.643,1.000,24
2025-10-03 15:05:19.900,1.000,20
2025-10-03 15:05:20.142,8.000,27
2025-10-03 15:05:20.392,8.000,28
2025-10-03 15:05:20.646,7.000,29
2025-10-03 15:05:20.893,7.000,29
2025-10-03 15:05:21.142,6.000,28
2025-10-03 15:05:21.397,2.000,25
2025-10-03 15:05:21.642,1.000,23
2025-10-03 15:05:21.900,1.000,17
2025-10-03 15:05:22.151,1.000,22
2025-10-03 15:05:22.395,4.000,29
2025-10-03 15:05:22.646,3.000,29
2025-10-03 15:05:22.901,2.000,23
2025-10-03 15:05:23.148,2.000,29
2025-10-03 15:05:23.397,2.000,25
2025-10-03 15:05:23.647,1.000,23
2025-10-03 15:05:23.893,1.000,22
2025-10-03 15:05:24.146,1.000,21
2025-10-03 15:05:24.395,1.000,21
2025-10-03 15:05:24.645,2.000,26
2025-10-03 15:05:24.892,1.000,21
2025-10-03 15:05:25.161,1.000,23
2025-10-03 15:05:25.413,1.000,22
