model_name   , serial_pct, rep_core_cycles, core_cycles, rep_e2e_cycles, e2e_cycles, power_mean, power_dyn_mean, utils_lut, util_lutram, util_ff, util_bram, util_dsp 
'baseline'   ,     0.125 ,           25866,       23160,          26669,      23313,    4292.98,         564.59,     32749,        1462,   58427,        46,       60 
'quantized'  ,     0.125 ,           25866,       23165,          26669,      23183,    3521.43,          28.31,     21928,        1395,   29926,        26,      124 
'optimized'  ,     0.0   ,            1591,           6,           2394,          7,      40.0 ,          20.0 ,     35251,        1391,   31302,        44,     1170 
'optimized64',     0.0   ,            1591,           7,           2394,          8,      42.0 ,          22.0 ,     35506,        1389,   31706,       44.5,    1170 
'rf0'        ,     0.0   ,            1591,           6,           2394,          7,      40.0 ,          20.0 ,     35251,        1391,   31302,        44,     1170 
'rf6_25'     ,     0.0625,           13528,           7,          14331,          8,      41.0 ,          21.0 ,     20904,        1374,   28709,       29,      174 
'rf12_50'    ,     0.125 ,           25866,       23165,          26669,      23183,    3521.43,          28.31,     21928,        1395,   29926,        26,      124 
'rf25'       ,     0.25  ,           50033,           6,          50836,          7,      38.0 ,          18.0 ,     22748,        1373,   29214,       144,      104
'rf50'       ,     0.5   ,           98704,           6,          99507,          7,      37.0 ,          17.0 ,     22660,        1373,   29029,       27.5,      94
'rf100'      ,     1.0   ,          196217,           5,         197020,          6,      35.0 ,          15.0 ,     22767,        1373,   29604,       31.5,      93
